|-----|------------|------------|
|query|uncompressed| compressed |
|-----|------------|------------|
|  1  |  80.925231 |  75.371346 |
|  2  |   4.159113 |   3.636357 |
|  3  | 255.786309 | 231.549380 |
|  4  |  38.700686 |  48.063663 |
|  5  |  44.065696 | 124.559740 |
|  6  |  51.388861 |  54.315450 |
|  7  |  97.507042 | 108.475126 |
|  8  |  65.553954 | 149.332131 |
|  9  | 469.112981 | 456.836549 |
| 10  |  43.975647 |  58.230692 |
| 11  |  15.724022 |  15.478311 |
| 12  |  69.176175 |  68.446453 |
| 13  | 492.705734 | 170.802014 |
| 14  |  47.231760 |  62.099121 |
| 15  |  90.564193 | 102.699915 |
| 16  |  13.629286 |  14.764389 |
| 17  |   8.874443 |   8.965694 |
| 19  |  11.599331 |  14.147099 |
| 20  |  50.918662 |  60.611708 |
| 21  |  93.690124 |  89.840590 |
| 22  |   3.192504 |   3.440101 |
|-------------------------------|
